,,,
,10.3: Are releases tagged in the repository?,Yes,release versions are tagged
,"10.4: Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",Yes,
,10.5: Do you back-up your repository?,No,
,11.1: Do you provide publicly-available instructions for building your software from the source code?,Yes,in readme
,"11.2: Can you build, or package, your software using an automated tool?",Yes,
,11.3: Do you provide publicly-available instructions for deploying your software?,Yes,in readme
,11.4: Does your documentation list all third-party dependencies?,Yes,
,11.5: Does your documentation list the version number for all third-party dependencies?,Yes,requirement file
,"11.6: Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",No,
,11.7: Can you download dependencies using a dependency management tool or package manager?,Yes,
,11.8: Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,Yes,present in UnitTesting folder
,12.1: Do you have an automated test suite for your software?,No,
,12.2: Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,Yes,GH workflow
,"12.3: Do you use continuous integration, automatically running tests whenever changes are made to your source code?",Yes,
,12.4: Are your test results publicly visible?,No,
,12.5: Are all manually-run tests documented?,No,
,"13.1: Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?",No,
,13.2: Does your website state how many projects and users are associated with your project?,No,No website present
,13.3: Do you provide success stories on your website?,No,
,13.4: Do you list your important partners and collaborators on your website?,No,
,13.5: Do you list your project's publications on your website or link to a resource where these are available?,No,
,13.6: Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,No,
,13.7: Can users subscribe to notifications to changes to your source code repository?,No,
,"13.8: If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",Yes,OSI approevd MIT License
,"14.1: Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,
,14.2: Do you have a contributions policy?,Yes,present in contributing.md
,14.3: Is your contributions' policy publicly available?,Yes,present in contributing.md
,14.4: Do contributors keep the copyright/IP of their contributions?,No,present in contributing.md
,15.1: Does your website and documentation clearly state the copyright owners of your software and documentation?,Yes,
,15.2: Does each of your source code files include a copyright statement?,No,
,15.3: Does your website and documentation clearly state the licence of your software?,Yes,MIT License
,15.4: Is your software released under an open source licence?,Yes,MIT License
,15.5: Is your software released under an OSI-approved open-source licence?,Yes,MIT License
,15.6: Does each of your source code files include a licence header?,No,
,15.7: Do you have a recommended citation for your software?,No,
,"16.1: Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",Yes,
,"16.2: Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",No,
,"16.3: Do you make timely announcements of the deprecation of components, APIs, etc.?",No,
